,RF_Importance,XGB_Importance,SHAP_Importance
HighRiskProfile,0.13616991022871258,0.5378381,0.20026514
Fiber_x_MonthToMonth,0.11912709923608818,0.069645084,0.07691169
Contract_Two year,0.060333198539705396,0.045562424,0.11333083
tenure,0.06182316334792956,0.03384968,0.075831614
BillingRisk,0.07548335614490796,0.033517804,0.0334236
Fiber_x_NoTechSupport,0.03561614331609484,0.030718703,0.016713796
StreamingMovies_Yes,0.001771704761554465,0.024437513,0.026544103
ChargesRatio,0.07524354082129822,0.021990417,0.124145284
Contract_One year,0.00780936982398363,0.020098807,0.020985285
InternetService_No,0.01273594180227039,0.018489785,0.057896115
Persona_New_HighSpend,0.026555608228602385,0.017714772,0.005590351
OnlineSecurity_Yes,0.008457157935064132,0.016877268,0.036531877
PaperlessBilling_Yes,0.004877390456152626,0.014826689,0.042822182
StreamingTV_Yes,0.0018022509195933796,0.014368565,0.014870759
TotalCharges,0.03470081159127803,0.010354211,0.00830985
TechSupport_Yes,0.004469563492577152,0.010172288,0.017378485
gender_Male,0.0006500901895998899,0.009358975,0.0019416432
TotalChargesPerTenure,0.020213458390168814,0.008483507,0.033488367
Dependents_Yes,0.0014376630148881784,0.008404499,0.013947346
OnlineBackup_Yes,0.0019599633579511205,0.008187459,0.002392536
MultipleLines_Yes,0.001866562374652134,0.0078503955,0.011559785
CLV,0.03622567145385033,0.007693872,0.015072015
SeniorCitizen,0.0009407449085938291,0.007452792,0.008820088
MonthlyCharges,0.019078100395392775,0.0064946124,0.026699562
PhoneService_Yes,0.0006527244317785186,0.004453147,0.007428617
AutoPayment,0.0029132006641794826,0.0035494722,0.000847236
PaymentMethod_Electronic check,0.015610176088374485,0.0030796437,0.0044985106
Partner_Yes,0.001779767904480648,0.002813378,0.00147833
PaymentMethod_Credit card (automatic),0.0004936371391639019,0.0017161753,0.00027494482
HasFamily,0.0016006212259190517,0.0,0.0
LongTermCustomer,0.027464182945750593,0.0,0.0
HighRiskContractPay,0.03547099575598049,0.0,0.0
MonthToMonth_x_NoAutoPay,0.06776229047696286,0.0,0.0
TechSupport_No internet service,0.00836368143252573,0.0,0.0
PaymentMethod_Mailed check,0.0015206374761832565,0.0,0.0
StreamingMovies_No internet service,0.009690066345921525,0.0,0.0
StreamingTV_No internet service,0.010792966080212036,0.0,0.0
DeviceProtection_Yes,0.00048246610549566816,0.0,0.0
DeviceProtection_No internet service,0.004416663700665105,0.0,0.0
OnlineBackup_No internet service,0.008068893627930073,0.0,0.0
OnlineSecurity_No internet service,0.008204876122821395,0.0,0.0
InternetService_Fiber optic,0.03605134865303214,0.0,0.0
MultipleLines_No phone service,0.0003769277796876697,0.0,0.0
ServiceCount,0.004296021052358316,0.0,0.0
Persona_Loyal_HighSpend,0.0046393902596670224,0.0,0.0
